Team Number,Country,State,City,Postal Code,State Code,fips
5501,USA,Michigan,Burr Oak,49030,MI,"m26023,m26149"
5502,USA,Michigan,Jonesville,49242,MI,m26059
5503,USA,Texas,Smithville,78957,TX,"t48021,t48149"
5504,USA,Michigan,Pinconning ,48650,MI,"m26011,m26017"
5505,USA,Michigan,Alpena,49707,MI,"m26007,m26141"
5507,USA,California,San Francisco,94121,CA,c06075
5509,USA,Michigan,Midland,48642,MI,"m26017,m26111"
5510,USA,California,Los Angeles,90034,CA,c06037
5511,USA,North Carolina,Cary,27519,NC,"n37037,n37183"
5514,USA,California,Carlsbad,92009,CA,c06073
5517,USA,Michigan,Burton,48519,MI,m26049
5518,USA,North Carolina,Apex,27539,NC,n37183
5523,USA,Michigan,Grass Lake,49240,MI,"m26075,m26161"
5524,USA,Michigan,Birch Run,48415,MI,"m26049,m26145,m26157"
5525,USA,Michigan,Lincoln,48742,MI,m26001
5527,USA,Michigan,Flint,48503,MI,m26049
5530,USA,Michigan,Ann Arbor,48105,MI,m26161
5531,USA,Michigan,Dearborn,48124,MI,m26163
5532,USA,Michigan,Detroit,48202,MI,m26163
5533,USA,Michigan,Clio,48420,MI,"m26049,m26145,m26157"
5534,USA,Michigan,Onaway,49765,MI,"m26031,m26141"
5535,USA,Michigan,New Buffalo,49117,MI,m26021
5538,USA,Michigan,Saginaw,48609,MI,m26145
5539,USA,Arizona,Tucson,85706,AZ,a04019
5541,USA,Minnesota,Shakopee,55379,MN,m27139
5542,USA,Minnesota,Buffalo,55313,MN,m27171
5544,USA,North Carolina,Vass,28394,NC,n37125
5546,USA,Virginia,Petersburg,23803,VA,"v51041,v51053,v51149,v51730"
5547,USA,Michigan,Hale,48739,MI,"m26069,m26129"
5549,USA,Virginia,Falls Church,22043,VA,v51059
5550,USA,Oklahoma,Bethany,73008,OK,o40109
5555,USA,Michigan,Warren,48091,MI,m26099
5556,USA,Massachusetts,Amesbury,01913,MA,m25009
5557,USA,Florida,Miami,33156,FL,f12086
5559,USA,Michigan,Camden,49232,MI,m26059
5560,USA,Michigan,Central Lake,49622,MI,m26009
5561,USA,Michigan,Flushing,48433,MI,"m26049,m26155"
5562,USA,Michigan,Maple City,49664,MI,"m26019,m26089"
5563,USA,Massachusetts,Lynn,01902,MA,m25009
5567,USA,Michigan,Milan,48160,MI,"m26091,m26115,m26161"
5568,USA,Arkansas,Bentonville,72712,AR,a05007
5572,USA,Texas,San Antonio,78213,TX,t48029
5576,USA,Iowa,Spirit Lake,51360,IA,i19059
5577,USA,Michigan,Detroit,48209,MI,m26163
5578,USA,Oklahoma,Oklahoma City,73111,OK,"o40027,o40109"
5583,USA,Missouri,Saint Louis,63108,MO,m29510
5585,USA,New York,Edmeston,13335,NY,n36077
5586,USA,Wisconsin,Kiel,53042,WI,"w55015,w55071,w55117"
5587,USA,Virginia,Alexandria,22302,VA,"v51059,v51510"
5588,USA,Washington,Seattle,98112,WA,w53033
5590,USA,New York,Buffalo,14223,NY,n36029
5599,USA,New York,Bayside,11364,NY,n36081
5603,USA,Michigan,Auburn,48611,MI,m26017
5607,USA,North Carolina,Raleigh,27614,NC,n37183
5608,USA,Georgia,Marietta,30066,GA,"g13057,g13067"
5610,USA,Michigan,Saugatuck,49453,MI,m26005
5612,USA,Michigan,Burton,48509,MI,m26049
5613,USA,New Mexico,Alamogordo,88310,NM,n35035
5616,USA,Florida,Fort Walton Beach,32547,FL,f12091
5619,USA,Michigan,Detroit,48235,MI,m26163
5621,USA,Oklahoma,Edmond,73003,OK,o40109
5622,USA,Michigan,Stanton,48888,MI,m26117
5623,USA,Michigan,Galesburg,49053,MI,m26077
5624,USA,New Jersey,South Plainfield,07080,NJ,"n34023,n34039"
5626,USA,Minnesota,Norwood Young America,55368,MN,"m27019,m27085"
5627,USA,California,San Diego,92154,CA,c06073
5632,USA,Georgia,Appling,30802,GA,"g13073,g13189"
