County,Teams
c37173,"6517"
c55073,"93,1716,6318"
c49041,"3289,3405,5071,6844"
c31017,"6359"
c47059,"6302,6928"
c51163,"3939"
c51161,"5724"
c51167,"6802"
c51165,"3274"
c47051,"547"
c47053,"3843,6157"
c51169,"4020,5022,6219"
c47055,"547"
c47057,"4576"
c18007,"461,1747"
c08039,"7479"
c08037,"1157,1245,1584,1619,2036,2261,2972,7891"
c08035,"2083,3729,4293,4418"
c08033,"1332,4944"
c08031,"1339,1410,1799,2240,2259,3648,3807,4550,7243,7737"
c38041,"4593"
c38043,"7578"
c38045,"7578"
c38047,"7578"
c38049,"877"
c32011,"5875"
c01009,"538"
